0	0	0	NaN
0.010101	0.009999	0.0098969	1.0204
0.020202	0.019794	0.019386	2.0619
0.030303	0.029385	0.028466	3.125
0.040404	0.038772	0.037139	4.2105
0.050505	0.047954	0.045404	5.3191
0.060606	0.056933	0.05326	6.4516
0.070707	0.065708	0.060708	7.6087
0.080808	0.074278	0.067748	8.7912
0.090909	0.082645	0.07438	10
0.10101	0.090807	0.080604	11.236
0.11111	0.098765	0.08642	12.5
0.12121	0.10652	0.091827	13.793
0.13131	0.11407	0.096827	15.116
0.14141	0.12142	0.10142	16.471
0.15152	0.12856	0.1056	17.857
0.16162	0.1355	0.10938	19.277
0.17172	0.14223	0.11274	20.732
0.18182	0.14876	0.1157	22.222
0.19192	0.15509	0.11825	23.75
0.20202	0.16121	0.1204	25.316
0.21212	0.16713	0.12213	26.923
0.22222	0.17284	0.12346	28.571
0.23232	0.17835	0.12438	30.263
0.24242	0.18365	0.12489	32
0.25253	0.18876	0.12499	33.784
0.26263	0.19365	0.12468	35.616
0.27273	0.19835	0.12397	37.5
0.28283	0.20284	0.12284	39.437
0.29293	0.20712	0.12131	41.429
0.30303	0.2112	0.11938	43.478
0.31313	0.21508	0.11703	45.588
0.32323	0.21875	0.11427	47.761
0.33333	0.22222	0.11111	50
0.34343	0.22549	0.10754	52.308
0.35354	0.22855	0.10356	54.688
0.36364	0.2314	0.099174	57.143
0.37374	0.23406	0.094378	59.677
0.38384	0.23651	0.089175	62.295
0.39394	0.23875	0.083563	65
0.40404	0.24079	0.077543	67.797
0.41414	0.24263	0.071115	70.69
0.42424	0.24426	0.064279	73.684
0.43434	0.24569	0.057035	76.786
0.44444	0.24691	0.049383	80
0.45455	0.24793	0.041322	83.333
0.46465	0.24875	0.032854	86.792
0.47475	0.24936	0.023977	90.385
0.48485	0.24977	0.014692	94.118
0.49495	0.24997	0.0049995	98
0.50505	0.24997	0.0049995	98
0.51515	0.24977	0.014692	94.118
0.52525	0.24936	0.023977	90.385
0.53535	0.24875	0.032854	86.792
0.54545	0.24793	0.041322	83.333
0.55556	0.24691	0.049383	80
0.56566	0.24569	0.057035	76.786
0.57576	0.24426	0.064279	73.684
0.58586	0.24263	0.071115	70.69
0.59596	0.24079	0.077543	67.797
0.60606	0.23875	0.083563	65
0.61616	0.23651	0.089175	62.295
0.62626	0.23406	0.094378	59.677
0.63636	0.2314	0.099174	57.143
0.64646	0.22855	0.10356	54.687
0.65657	0.22549	0.10754	52.308
0.66667	0.22222	0.11111	50
0.67677	0.21875	0.11427	47.761
0.68687	0.21508	0.11703	45.588
0.69697	0.2112	0.11938	43.478
0.70707	0.20712	0.12131	41.429
0.71717	0.20284	0.12284	39.437
0.72727	0.19835	0.12397	37.5
0.73737	0.19365	0.12468	35.616
0.74747	0.18876	0.12499	33.784
0.75758	0.18365	0.12489	32
0.76768	0.17835	0.12438	30.263
0.77778	0.17284	0.12346	28.571
0.78788	0.16713	0.12213	26.923
0.79798	0.16121	0.1204	25.316
0.80808	0.15509	0.11825	23.75
0.81818	0.14876	0.1157	22.222
0.82828	0.14223	0.11274	20.732
0.83838	0.1355	0.10938	19.277
0.84848	0.12856	0.1056	17.857
0.85859	0.12142	0.10142	16.471
0.86869	0.11407	0.096827	15.116
0.87879	0.10652	0.091827	13.793
0.88889	0.098765	0.08642	12.5
0.89899	0.090807	0.080604	11.236
0.90909	0.082645	0.07438	10
0.91919	0.074278	0.067748	8.7912
0.92929	0.065708	0.060708	7.6087
0.93939	0.056933	0.05326	6.4516
0.94949	0.047954	0.045404	5.3191
0.9596	0.038772	0.037139	4.2105
0.9697	0.029385	0.028466	3.125
0.9798	0.019794	0.019386	2.0619
0.9899	0.009999	0.0098969	1.0204
1	0	-0	NaN
